x,y,curvature,mission_tag,mission_param
346471.707467,4070217.472391,0,DRIVING,1.94
346471.848876,4070217.326161,0,DRIVING,1.94
346471.990285,4070217.179931,0,DRIVING,1.94
346472.131694,4070217.0337,0,DRIVING,1.94
346472.273103,4070216.88747,0,DRIVING,1.94
346472.414512,4070216.741239,0,DRIVING,1.94
346472.555921,4070216.595009,0,DRIVING,1.94
346472.69733,4070216.448779,0,DRIVING,1.94
346472.838739,4070216.302548,0,DRIVING,1.94
346472.980148,4070216.156318,0,DRIVING,1.94
346473.121558,4070216.010087,0,DRIVING,1.94
346473.262967,4070215.863857,0,DRIVING,1.94
346473.404376,4070215.717627,0,DRIVING,1.94
346473.545785,4070215.571396,0,DRIVING,1.94
346473.687194,4070215.425166,0,DRIVING,1.94
346473.828603,4070215.278936,0,DRIVING,1.94
346473.970012,4070215.132705,0,DRIVING,1.94
346474.111421,4070214.986475,0,DRIVING,1.94
346474.25283,4070214.840244,0,DRIVING,1.94
346474.394239,4070214.694014,0,DRIVING,1.94
346474.535648,4070214.547784,0,DRIVING,1.94
346474.677057,4070214.401553,0,DRIVING,1.94
346474.818466,4070214.255323,0,DRIVING,1.94
346474.959875,4070214.109092,0,DRIVING,1.94
346475.101284,4070213.962862,0,DRIVING,1.94
346475.242694,4070213.816632,0,DRIVING,1.94
346475.384103,4070213.670401,0,DRIVING,1.94
346475.525512,4070213.524171,0,DRIVING,1.94
346475.666921,4070213.37794,0,DRIVING,1.94
346475.80833,4070213.23171,0,DRIVING,1.94
346475.949739,4070213.08548,0,DRIVING,1.94
346476.091148,4070212.939249,0,DRIVING,1.94
346476.232557,4070212.793019,0,DRIVING,1.94
346476.373966,4070212.646789,0,DRIVING,1.94
346476.515375,4070212.500558,0,DRIVING,1.94
346476.656784,4070212.354328,0,DRIVING,1.94
346476.798193,4070212.208097,0,DRIVING,1.94
346476.939602,4070212.061867,0,DRIVING,1.94
346477.081011,4070211.915637,0,DRIVING,1.94
346477.221438,4070211.770895,0,DRIVING,1.94
346477.361864,4070211.626154,0,DRIVING,1.94
346477.502291,4070211.481412,0,DRIVING,1.94
346477.642718,4070211.33667,0,DRIVING,1.94
346477.783144,4070211.191929,0,DRIVING,1.94
346477.923571,4070211.047187,0,DRIVING,1.94
346478.063997,4070210.902446,0,DRIVING,1.94
346478.204424,4070210.757704,0,DRIVING,1.94
346478.34485,4070210.612963,0,DRIVING,1.94
346478.485277,4070210.468221,0,DRIVING,1.94
346478.625703,4070210.32348,0,DRIVING,1.94
346478.76613,4070210.178738,0,DRIVING,1.94
346478.906556,4070210.033997,0,DRIVING,1.94
346479.046983,4070209.889255,0,DRIVING,1.94
346479.18741,4070209.744513,0,DRIVING,1.94
346479.327836,4070209.599772,0,DRIVING,1.94
346479.468263,4070209.45503,0,DRIVING,1.94
346479.608689,4070209.310289,0,DRIVING,1.94
346479.749116,4070209.165547,0,DRIVING,1.94
346479.889542,4070209.020806,0,DRIVING,1.94
346480.029969,4070208.876064,0,DRIVING,1.94
346480.170395,4070208.731323,0,DRIVING,1.94
346480.310822,4070208.586581,0,DRIVING,1.94
346480.451248,4070208.44184,0,DRIVING,1.94
346480.591675,4070208.297098,0,DRIVING,1.94
346480.732101,4070208.152356,0,DRIVING,1.94
346480.872528,4070208.007615,0,DRIVING,1.94
346481.012955,4070207.862873,0,DRIVING,1.94
346481.153381,4070207.718132,0,DRIVING,1.94
346481.293808,4070207.57339,0,DRIVING,1.94
346481.434234,4070207.428649,0,DRIVING,1.94
346481.574661,4070207.283907,0,DRIVING,1.94
346481.715087,4070207.139166,0,DRIVING,1.94
346481.855514,4070206.994424,0,DRIVING,1.94
346481.99594,4070206.849683,0,DRIVING,1.94
346482.136367,4070206.704941,0,DRIVING,1.94
346482.276793,4070206.560199,0,DRIVING,1.94
346482.41722,4070206.415458,0,DRIVING,1.94
346482.557647,4070206.270716,0,DRIVING,1.94
346482.698073,4070206.125975,0,DRIVING,1.94
346482.8385,4070205.981233,0,DRIVING,1.94
346482.978926,4070205.836492,0,DRIVING,1.94
346483.119353,4070205.69175,0,DRIVING,1.94
346483.259779,4070205.547009,0,DRIVING,1.94
346483.400206,4070205.402267,0,DRIVING,1.94
346483.540632,4070205.257526,0,DRIVING,1.94
346483.681059,4070205.112784,0,DRIVING,1.94
346483.821485,4070204.968043,0,DRIVING,1.94
346483.961912,4070204.823301,0,DRIVING,1.94
346484.102338,4070204.678559,0,DRIVING,1.94
346484.242765,4070204.533818,0,DRIVING,1.94
346484.383192,4070204.389076,0,DRIVING,1.94
346484.523618,4070204.244335,0,DRIVING,1.94
346484.664045,4070204.099593,0,DRIVING,1.94
346484.799802,4070203.952667,0,DRIVING,1.94
346484.93556,4070203.805741,0,DRIVING,1.94
346485.071318,4070203.658815,0,DRIVING,1.94
346485.207075,4070203.511889,0,DRIVING,1.94
346485.342833,4070203.364963,0,DRIVING,1.94
346485.478591,4070203.218037,0,DRIVING,1.94
346485.614349,4070203.071111,0,DRIVING,1.94
346485.750106,4070202.924185,0,DRIVING,1.94
346485.885864,4070202.777259,0,DRIVING,1.94
346486.021622,4070202.630332,0,DRIVING,1.94
346486.157379,4070202.483406,0,DRIVING,1.94
346486.293137,4070202.33648,0,DRIVING,1.94
346486.428895,4070202.189554,0,DRIVING,1.94
346486.564653,4070202.042628,0,DRIVING,1.94
346486.70041,4070201.895702,0,DRIVING,1.94
346486.836168,4070201.748776,0,DRIVING,1.94
346486.971926,4070201.60185,0,DRIVING,1.94
346487.107683,4070201.454924,0,DRIVING,1.94
346487.243441,4070201.307998,0,DRIVING,1.94
346487.379199,4070201.161072,0,DRIVING,1.94
346487.514957,4070201.014145,0,DRIVING,1.94
346487.650714,4070200.867219,0,DRIVING,1.94
346487.786472,4070200.720293,0,DRIVING,1.94
346487.92223,4070200.573367,0,DRIVING,1.94
346488.057987,4070200.426441,0,DRIVING,1.94
346488.193745,4070200.279515,0,DRIVING,1.94
346488.329503,4070200.132589,0,DRIVING,1.94
346488.465261,4070199.985663,0,DRIVING,1.94
346488.601018,4070199.838737,0,DRIVING,1.94
346488.736776,4070199.691811,0,DRIVING,1.94
346488.872534,4070199.544885,0,DRIVING,1.94
346489.008291,4070199.397959,0,DRIVING,1.94
346489.144049,4070199.251032,0,DRIVING,1.94
346489.279807,4070199.104106,0,DRIVING,1.94
346489.415565,4070198.95718,0,DRIVING,1.94
346489.551322,4070198.810254,0,DRIVING,1.94
346489.68708,4070198.663328,0,DRIVING,1.94
346489.822838,4070198.516402,0,DRIVING,1.94
346489.958595,4070198.369476,0,DRIVING,1.94
346490.094353,4070198.22255,0,DRIVING,1.94
346490.230111,4070198.075624,0,DRIVING,1.94
346490.365869,4070197.928698,0,DRIVING,1.94
346490.501626,4070197.781772,0,DRIVING,1.94
346490.637384,4070197.634846,0,DRIVING,1.94
346490.773142,4070197.487919,0,DRIVING,1.94
346490.908899,4070197.340993,0,DRIVING,1.94
346491.044657,4070197.194067,0,DRIVING,1.94
346491.180415,4070197.047141,0,DRIVING,1.94
346491.316173,4070196.900215,0,DRIVING,1.94
346491.45193,4070196.753289,0,DRIVING,1.94
346491.587688,4070196.606363,0,DRIVING,1.94
346491.723446,4070196.459437,0,DRIVING,1.94
346491.866616,4070196.310947,0,DRIVING,1.94
346492.009787,4070196.162457,0,DRIVING,1.94
346492.152958,4070196.013967,0,DRIVING,1.94
346492.296128,4070195.865477,0,DRIVING,1.94
346492.439299,4070195.716987,0,DRIVING,1.94
346492.582469,4070195.568497,0,DRIVING,1.94
346492.72564,4070195.420007,0,DRIVING,1.94
346492.86881,4070195.271518,0,DRIVING,1.94
346493.011981,4070195.123028,0,DRIVING,1.94
346493.155152,4070194.974538,0,DRIVING,1.94
346493.298322,4070194.826048,0,DRIVING,1.94
346493.441493,4070194.677558,0,DRIVING,1.94
346493.584663,4070194.529068,0,DRIVING,1.94
346493.727834,4070194.380578,0,DRIVING,1.94
346493.871004,4070194.232088,0,DRIVING,1.94
346494.014175,4070194.083598,0,DRIVING,1.94
346494.157346,4070193.935108,0,DRIVING,1.94
346494.300516,4070193.786618,0,DRIVING,1.94
346494.443687,4070193.638128,0,DRIVING,1.94
346494.586857,4070193.489638,0,DRIVING,1.94
346494.730028,4070193.341148,0,DRIVING,1.94
346494.873198,4070193.192659,0,DRIVING,1.94
346495.016369,4070193.044169,0,DRIVING,1.94
346495.15954,4070192.895679,0,DRIVING,1.94
346495.30271,4070192.747189,0,DRIVING,1.94
346495.445881,4070192.598699,0,DRIVING,1.94
346495.589051,4070192.450209,0,DRIVING,1.94
346495.730237,4070192.304567,0,DRIVING,1.94
346495.871422,4070192.158925,0,DRIVING,1.94
346496.012608,4070192.013283,0,DRIVING,1.94
346496.153793,4070191.867642,0,DRIVING,1.94
346496.294979,4070191.722,0,DRIVING,1.94
346496.436164,4070191.576358,0,DRIVING,1.94
346496.57735,4070191.430716,0,DRIVING,1.94
346496.718535,4070191.285074,0,DRIVING,1.94
346496.859721,4070191.139432,0,DRIVING,1.94
346497.000906,4070190.993791,0,DRIVING,1.94
346497.142092,4070190.848149,0,DRIVING,1.94
346497.283277,4070190.702507,0,DRIVING,1.94
346497.424463,4070190.556865,0,DRIVING,1.94
346497.565648,4070190.411223,0,DRIVING,1.94
346497.706834,4070190.265581,0,DRIVING,1.94
346497.848019,4070190.11994,0,DRIVING,1.94
346497.989205,4070189.974298,0,DRIVING,1.94
346498.13039,4070189.828656,0,DRIVING,1.94
346498.271576,4070189.683014,0,DRIVING,1.94
346498.412761,4070189.537372,0,DRIVING,1.94
346498.553947,4070189.391731,0,DRIVING,1.94
346498.695132,4070189.246089,0,DRIVING,1.94
346498.836318,4070189.100447,0,DRIVING,1.94
346498.977503,4070188.954805,0,DRIVING,1.94
