x,y,curvature,mission_tag,mission_param
346471.675123,4070217.439229,0.002712,DRIVING,1.940000
346471.958887,4070217.156505,0.002667,DRIVING,1.940000
346472.242348,4070216.873479,0.002621,DRIVING,1.940000
346472.525511,4070216.590156,0.002576,DRIVING,1.940000
346472.808382,4070216.306541,0.002530,DRIVING,1.940000
346473.090966,4070216.022639,0.002485,DRIVING,1.940000
346473.373268,4070215.738456,0.002439,DRIVING,1.940000
346473.655292,4070215.453995,0.002394,DRIVING,1.940000
346473.937045,4070215.169264,0.002349,DRIVING,1.940000
346474.218531,4070214.884266,0.002303,DRIVING,1.940000
346474.499755,4070214.599007,0.002258,DRIVING,1.940000
346474.780723,4070214.313493,0.002212,DRIVING,1.940000
346475.061440,4070214.027728,0.002167,DRIVING,1.940000
346475.341910,4070213.741717,0.002121,DRIVING,1.940000
346475.622139,4070213.455466,0.002076,DRIVING,1.940000
346475.902132,4070213.168980,0.002030,DRIVING,1.940000
346476.181894,4070212.882264,0.001985,DRIVING,1.940000
346476.461430,4070212.595323,0.001940,DRIVING,1.940000
346476.740746,4070212.308163,0.001894,DRIVING,1.940000
346477.019846,4070212.020788,0.001849,DRIVING,1.940000
346477.298736,4070211.733203,0.001803,DRIVING,1.940000
346477.577421,4070211.445415,0.001758,DRIVING,1.940000
346477.855906,4070211.157428,0.001712,DRIVING,1.940000
346478.134196,4070210.869247,0.001667,DRIVING,1.940000
346478.412296,4070210.580878,0.001621,DRIVING,1.940000
346478.690211,4070210.292325,0.001576,DRIVING,1.940000
346478.967947,4070210.003594,0.001531,DRIVING,1.940000
346479.245508,4070209.714690,0.001485,DRIVING,1.940000
346479.522900,4070209.425618,0.001440,DRIVING,1.940000
346479.800128,4070209.136383,0.001394,DRIVING,1.940000
346480.077196,4070208.846991,0.001349,DRIVING,1.940000
346480.354111,4070208.557447,0.001303,DRIVING,1.940000
346480.630877,4070208.267755,0.001258,DRIVING,1.940000
346480.907500,4070207.977921,0.001213,DRIVING,1.940000
346481.183983,4070207.687951,0.001167,DRIVING,1.940000
346481.460334,4070207.397849,0.001122,DRIVING,1.940000
346481.736556,4070207.107620,0.001076,DRIVING,1.940000
346482.012655,4070206.817270,0.001031,DRIVING,1.940000
346482.288636,4070206.526805,0.000986,DRIVING,1.940000
346482.564505,4070206.236228,0.000940,DRIVING,1.940000
346482.840265,4070205.945545,0.000895,DRIVING,1.940000
346483.115923,4070205.654762,0.000850,DRIVING,1.940000
