x,y,curvature
346474.853084,4070214.141969,0.0
346474.989944,4070213.995576,0.0
346475.126804,4070213.849183,0.0
346475.263665,4070213.70279,0.0
346475.400525,4070213.556397,0.0
346475.537386,4070213.410004,0.0
346475.674246,4070213.263612,0.0
346475.811106,4070213.117219,0.0
346475.947967,4070212.970826,0.0
346476.084827,4070212.824433,0.0
346476.221688,4070212.67804,0.0
346476.358548,4070212.531647,0.0
346476.495409,4070212.385254,0.0
346476.632269,4070212.238862,0.0
346476.769129,4070212.092469,0.0
346476.90599,4070211.946076,0.0
346477.04285,4070211.799683,0.0
346477.179711,4070211.65329,0.0
346477.316571,4070211.506897,0.0
346477.453431,4070211.360504,0.0
346477.590292,4070211.214111,0.0
346477.727152,4070211.067719,0.0
346477.864013,4070210.921326,0.0
346478.000873,4070210.774933,0.0
346478.137734,4070210.62854,0.0
346478.274594,4070210.482147,0.0
346478.411454,4070210.335754,0.0
346478.548315,4070210.189361,0.0
346478.685175,4070210.042969,0.0
346478.822036,4070209.896576,0.0
346478.958896,4070209.750183,0.0
346479.095756,4070209.60379,0.0
346479.232617,4070209.457397,0.0
346479.369477,4070209.311004,0.0
346479.506338,4070209.164611,0.0
346479.643198,4070209.018218,0.0
346479.780058,4070208.871826,0.0
346479.916919,4070208.725433,0.0
346480.053779,4070208.57904,0.0
346480.19064,4070208.432647,0.0
346480.3275,4070208.286254,0.0
346480.464361,4070208.139861,0.0
346480.601221,4070207.993468,0.0
346480.738081,4070207.847075,0.0
346480.874942,4070207.700683,0.0
346481.011802,4070207.55429,0.0
346481.148663,4070207.407897,0.0
346481.285523,4070207.261504,0.0
346481.422383,4070207.115111,0.0
346481.559244,4070206.968718,0.0
346481.696104,4070206.822325,0.0
346481.832965,4070206.675933,0.0
346481.969825,4070206.52954,0.0
346482.106686,4070206.383147,0.0
346482.243546,4070206.236754,0.0
346482.380406,4070206.090361,0.0
346482.517267,4070205.943968,0.0
346482.654127,4070205.797575,0.0
346482.790988,4070205.651182,0.0
346482.927848,4070205.50479,0.0
346483.064708,4070205.358397,0.0
346483.201569,4070205.212004,0.0
346483.338429,4070205.065611,0.0
346483.47529,4070204.919218,0.0
346483.61215,4070204.772825,0.0
346483.749011,4070204.626432,0.0
346483.885871,4070204.480039,0.0
346484.022731,4070204.333647,0.0
346484.159592,4070204.187254,0.0
346484.296452,4070204.040861,0.0
346484.433313,4070203.894468,0.0
346484.570173,4070203.748075,0.0
346484.707033,4070203.601682,0.0
346484.843894,4070203.455289,0.0
346484.980754,4070203.308897,0.0
346485.117615,4070203.162504,0.0
346485.254475,4070203.016111,0.0
346485.391336,4070202.869718,0.0
346485.528196,4070202.723325,0.0
346485.665056,4070202.576932,0.0
346485.801917,4070202.430539,0.0
346485.938777,4070202.284146,0.0
346486.075638,4070202.137754,0.0
346486.212498,4070201.991361,0.0
346486.349358,4070201.844968,0.0
346486.486219,4070201.698575,0.0
346486.623079,4070201.552182,0.0
346486.75994,4070201.405789,0.0
346486.8968,4070201.259396,0.0
346487.03366,4070201.113004,0.0014577888960018008
346487.170521,4070200.966611,0.002914313930038779
346487.307381,4070200.820218,0.004369378998492384
346487.444242,4070200.673825,0.00582291957277017
346487.581102,4070200.527432,0.007275084594682902
346487.717963,4070200.381039,0.008725289687243638
346487.854823,4070200.234646,0.010174388503570544
346487.991683,4070200.088253,0.011621438272737324
346488.128544,4070199.941861,0.013066411009068883
346488.265404,4070199.795468,0.014509947781718784
346488.406975,4070199.652614,0.013052760136877253
346488.548546,4070199.509761,0.011596395497608294
346488.690117,4070199.366907,0.010141743022230634
346488.831688,4070199.224053,0.008688514331423865
346488.973259,4070199.0812,0.007236222260087389
346489.114831,4070198.938346,0.005785784790103052
346489.256402,4070198.795493,0.004336552042939142
346489.397973,4070198.652639,0.0028894371755366893
346489.539544,4070198.509786,0.001443790177189525
346489.681115,4070198.366932,0.0
346489.822686,4070198.224079,0.0
346489.964257,4070198.081225,0.0
346490.105828,4070197.938372,0.0
346490.247399,4070197.795518,0.0
346490.38897,4070197.652664,0.0
346490.530541,4070197.509811,0.0
346490.672112,4070197.366957,0.0
346490.813683,4070197.224104,0.0
346490.955254,4070197.08125,0.0
346491.096825,4070196.938397,0.0
346491.238396,4070196.795543,0.0
346491.379967,4070196.65269,0.0
346491.521538,4070196.509836,0.0
346491.663109,4070196.366982,0.0
346491.80468,4070196.224129,0.0
346491.946251,4070196.081275,0.0
346492.087822,4070195.938422,0.0
346492.229393,4070195.795568,0.0
346492.370965,4070195.652715,0.0
346492.512536,4070195.509861,0.0
346492.654107,4070195.367008,0.0
346492.795678,4070195.224154,0.0
346492.937249,4070195.0813,0.002728087671323631
346493.07882,4070194.938447,0.008958209021346702
346493.220391,4070194.795593,0.06627851526634533
346493.361962,4070194.65274,0.6783174628086583
346493.503533,4070194.509886,0.8536238919413246
346493.645104,4070194.367033,0.891921052000712
346493.786675,4070194.224179,0.8855467155120621
346493.928246,4070194.081326,0.926779529290376
346494.069817,4070193.938472,0.9930650649460216
346494.211388,4070193.795618,0.9333189864495818
346494.031794,4070193.98751,0.9511158089119643
346493.852199,4070194.179402,0.8942151265222821
346493.604962,4070194.333668,0.867644826033124
346493.357724,4070194.487933,0.8284330936256465
346493.107595,4070194.48133,0.0924492364156548
346492.882649,4070194.385492,0.10297624854255147
346492.828495,4070194.353171,0.12938165319966638
346492.75589,4070194.287889,0.07687627326681357
346492.43196,4070194.149438,0.024940282852326804
346492.180934,4070194.092911,0.06281649878678928
346491.929908,4070194.036384,0.16087217003762452
346491.670255,4070193.996659,0.24242699834252415
346491.410801,4070193.968029,0.35346361721626324
346491.125167,4070193.973162,0.49793402855075136
346490.858383,4070194.033446,0.6432779477823767
346490.69891,4070194.1029,0.7730181856560281
346490.575341,4070194.182806,0.8802888072008499
346490.364505,4070194.37526,0.7778241969566051
346490.162397,4070194.556459,0.7627707850943899
346489.960288,4070194.737657,0.7685466763707921
346489.771269,4070194.901974,0.824300464289263
346489.58225,4070195.066291,0.8518314601326131
346489.826719,4070195.006408,0.962338787217944
346490.071189,4070194.946524,0.9905358306760921
346490.267163,4070194.920806,0.9709566064509784
346490.40998,4070194.918239,0.9371880511130598
346490.686688,4070194.913266,0.910661965624949
346490.902109,4070194.975982,0.6665278797156678
346491.153434,4070195.04915,0.46701109118605927
346491.305775,4070195.079706,0.3431417044204842
346491.475769,4070195.098847,0.27157359000182246
346491.681667,4070195.12844,0.23472270533315318
346491.859789,4070195.103043,0.25605652367851
346492.089673,4070194.976834,0.2491641454249925
346492.319557,4070194.850626,0.22969316129184375
346492.530991,4070194.691455,0.192534876632919
346492.742424,4070194.532285,0.1730477006053507
346493.03499,4070194.416048,0.165319423411244
346493.212116,4070194.335179,0.15664060470641109
346493.445765,4070194.17006,0.14135449544522663
346493.679414,4070194.004941,0.12447844792280635
346493.855941,4070193.89079,0.10917363566736966
346494.032468,4070193.776638,0.10463173033964765
346494.208995,4070193.662487,0.11219071710150821
346494.434018,4070193.51417,0.12187937860344367
346494.65904,4070193.365853,0.13894449178274226
346494.754834,4070193.230957,0.1282234259762193
346494.824448,4070193.129824,0.10431347895095554
346494.92837,4070192.95039,0.06896704163050711
346495.076325,4070192.736871,0.04230628430628558
346495.251456,4070192.545059,0.02884658957451746
346495.426588,4070192.353248,0.014983013687121583
346495.566974,4070192.206835,0.0045661178423650525
346495.707359,4070192.060422,0.005884641819155686
346495.847745,4070191.914009,0.01958116584765508
346495.988131,4070191.767596,0.034410419256273146
346496.128517,4070191.621183,0.02796286850545343
346496.268902,4070191.47477,0.02216502089114495
346496.409288,4070191.328357,0.011566638776311386
346496.549674,4070191.181944,0.0028389257889118026
346496.69006,4070191.035531,0.0014781339264869668
346496.830445,4070190.889118,0.0
346496.970831,4070190.742705,0.0
346497.111217,4070190.596292,0.0
346497.251603,4070190.449879,0.0
346497.391988,4070190.303466,0.0
346497.532374,4070190.157053,0.0
346497.67276,4070190.01064,0.0
346497.813145,4070189.864228,0.0
346497.953531,4070189.717815,0.0
346498.093917,4070189.571402,0.0
346498.234303,4070189.424989,0.0
346498.374688,4070189.278576,0.0
346498.515074,4070189.132163,0.0
346498.65546,4070188.98575,0.0
346498.795846,4070188.839337,0.0
346498.936231,4070188.692924,0.0
346499.076617,4070188.546511,0.0
346499.217003,4070188.400098,0.0
346499.357389,4070188.253685,0.0
346499.497774,4070188.107272,0.0
346499.63816,4070187.960859,0.0
346499.778546,4070187.814446,0.0
346499.918932,4070187.668033,0.0
346500.059317,4070187.52162,0.0
346500.199703,4070187.375207,0.0
346500.340089,4070187.228794,0.0
346500.480475,4070187.082382,0.0
346500.62086,4070186.935969,0.0
346500.761246,4070186.789556,0.0
346500.901632,4070186.643143,0.0
346501.042018,4070186.49673,0.0
346501.182403,4070186.350317,0.0
346501.322789,4070186.203904,0.0
346501.463175,4070186.057491,0.0
346501.603561,4070185.911078,0.0
346501.743946,4070185.764665,0.0
346501.884332,4070185.618252,0.0
346502.024718,4070185.471839,0.0
346502.165104,4070185.325426,0.0
346502.305489,4070185.179013,0.0017272388808619176
346502.445875,4070185.0326,0.0034602862149622562
346502.586261,4070184.886187,0.00519890432871595
346502.726647,4070184.739774,0.006943909881411885
346502.867032,4070184.593361,0.008694726142949877
346503.007418,4070184.446948,0.010451111517842993
