x,y,curvature,mission_tag,mission_param
332259.379178,4128604.580206,0,DRIVING,2.6
332259.188314,4128604.644706,0,DRIVING,2.6
332258.997451,4128604.709206,0,DRIVING,2.6
332258.806587,4128604.773707,0,DRIVING,2.6
332258.615724,4128604.838207,0,DRIVING,2.6
332258.424861,4128604.902707,0,DRIVING,2.6
332258.233997,4128604.967207,0,DRIVING,2.6
332258.043134,4128605.031708,0,DRIVING,2.6
332257.85227,4128605.096208,0,DRIVING,2.6
332257.661407,4128605.160708,0,DRIVING,2.6
332257.470543,4128605.225208,0,DRIVING,2.6
332257.27968,4128605.289708,0,DRIVING,2.6
332257.088816,4128605.354209,0,DRIVING,2.6
332256.897953,4128605.418709,0,DRIVING,2.6
332256.707089,4128605.483209,0,DRIVING,2.6
332256.516226,4128605.547709,0,DRIVING,2.6
332256.325362,4128605.61221,0,DRIVING,2.6
332256.134499,4128605.67671,0,DRIVING,2.6
332255.943635,4128605.74121,0,DRIVING,2.6
332255.752772,4128605.80571,0,DRIVING,2.6
332255.561908,4128605.87021,0,DRIVING,2.6
332255.371045,4128605.934711,0,DRIVING,2.6
332255.180181,4128605.999211,0,DRIVING,2.6
332254.989318,4128606.063711,0,DRIVING,2.6
332254.798454,4128606.128211,0,DRIVING,2.6
332254.607591,4128606.192712,0,DRIVING,2.6
332254.416728,4128606.257212,0,DRIVING,2.6
332254.225864,4128606.321712,0,DRIVING,2.6
332254.035001,4128606.386212,0,DRIVING,2.6
332253.844137,4128606.450713,0,DRIVING,2.6
332253.653274,4128606.515213,0,DRIVING,2.6
332253.46241,4128606.579713,0,DRIVING,2.6
332253.271547,4128606.644213,0,DRIVING,2.6
332253.080683,4128606.708713,0,DRIVING,2.6
332252.88982,4128606.773214,0,DRIVING,2.6
332252.698956,4128606.837714,0,DRIVING,2.6
332252.508093,4128606.902214,0,DRIVING,2.6
332252.317229,4128606.966714,0,DRIVING,2.6
332252.126366,4128607.031215,0,DRIVING,2.6
332251.935502,4128607.095715,0,DRIVING,2.6
332251.744639,4128607.160215,0,DRIVING,2.6
332251.553775,4128607.224715,0,DRIVING,2.6
332251.362912,4128607.289216,0,DRIVING,2.6
332251.172048,4128607.353716,0,DRIVING,2.6
332250.981185,4128607.418216,0,DRIVING,2.6
332250.790321,4128607.482716,0,DRIVING,2.6
332250.599458,4128607.547216,0,DRIVING,2.6
332250.408595,4128607.611717,0,DRIVING,2.6
332250.217731,4128607.676217,0,DRIVING,2.6
332250.026868,4128607.740717,0,DRIVING,2.6
332249.836004,4128607.805217,0,DRIVING,2.6
332249.645141,4128607.869718,0,DRIVING,2.6
332249.454277,4128607.934218,0,DRIVING,2.6
332249.263414,4128607.998718,0,DRIVING,2.6
332249.07255,4128608.063218,0,DRIVING,2.6
332248.881687,4128608.127719,0,DRIVING,2.6
